"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","10대취업율","20대취업율","30대취업율","40대취업율","50대취업율","60세이상취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2013. 11",96.462,98.685,101.654,97.973,94.952,126.258,85.95,95.357,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.781,97.631,94.807,97.854,2000,9,209,344,407,331,159,1972,1175,1203,885,630,291,574,75.3,52.3,3.2,4.3,72.8,50,76.5,53.8
"2013. 12",96.692,98.515,100.915,97.854,95.326,126.683,85.09,95.595,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,95.882,96.511,96.17,98.269,94.291,100,101.781,97.631,94.807,97.854,1795,11,211,345,402,334,150,1879,1177,1205,884,627,294,579,75.1,52,3.5,4.2,72.5,49.8,76.4,54.2
"2014. 01",99.03,98.614,101.613,97.973,95.326,128.282,84.767,96.001,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.011,96.243,97.854,1209,19,205,338,400,331,141,2362,1179,1207,892,632,286,575,75.7,52.4,5.4,6.6,71.6,48.9,76,53.4
"2014. 02",100.485,99.071,101.459,97.88,95.335,127.787,85.801,96.001,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.011,96.243,97.854,1212,17,206,332,404,334,143,2192,1180,1209,891,636,290,573,75.5,52.6,5.5,6.5,71.3,49.2,75.6,53.7
"2014. 03",99.886,99.286,101.469,97.795,95.853,127.638,86.029,96.177,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.101,96.243,97.854,1716,14,200,336,407,341,158,2219,1182,1210,897,638,285,572,75.9,52.7,4.9,5.6,72.2,49.8,75.8,53.8
"2014. 04",98.957,98.963,101.1,97.711,95.768,127.028,85.816,96.424,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.101,96.243,97.854,1640,15,208,340,407,350,167,2246,1184,1212,906,651,278,561,76.5,53.7,4.5,4.3,73,51.4,76.6,55.1
"2014. 05",99.408,99.394,101.264,98.294,96.338,126.752,86.416,96.654,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,97.344,100,101.781,97.424,96.243,97.854,1748,17,209,340,407,349,172,2118,1185,1214,907,662,278,552,76.5,54.5,4.3,5.4,73.2,51.6,76.7,55.3
"2014. 06",98.165,99.349,100.915,98.954,96.338,125.614,86.116,96.715,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,97.424,97.17,97.854,1414,14,206,341,409,349,177,1955,1187,1216,902,663,284,553,76,54.5,4,5,73,51.8,76.2,55.3
"2014. 07",97.125,99.358,100.648,98.954,97.197,125.211,85.974,96.857,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,96.72,96.537,97.854,958,17,211,341,407,350,174,2156,1188,1217,904,665,284,552,76.1,54.6,4.6,4,72.6,52.4,76,56.2
"2014. 08",99.132,99.241,100.546,98.954,97.154,123.98,86.053,97.068,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,96.72,96.537,97.854,940,17,211,336,402,350,170,2227,1190,1218,893,656,296,562,75.1,53.9,4.1,3.9,72,51.8,75.5,55.5
"2014. 09",99.785,99.053,100.176,99.063,97.154,121.749,86.953,97.218,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,101.781,96.521,97.571,97.854,1207,15,215,337,405,352,168,2248,1191,1220,895,656,295,564,75.2,53.8,3.7,4,72.4,51.6,76.1,55.6
"2014. 10",97.3,98.99,100.227,99.063,97.154,119.518,86.826,97.474,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,96.63,97.571,97.854,1903,15,211,336,402,348,162,2118,1191,1221,888,648,304,573,74.5,53.1,3.5,4.7,71.9,50.6,75.6,54.6
"2014. 11",96.204,98.784,99.766,100.171,96.993,116.091,86.945,97.694,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,98.751,97.571,97.854,1651,16,208,338,396,347,166,1937,1193,1222,895,645,298,578,75,52.7,3.8,5.5,72.2,49.8,76.2,53.7
"2014. 12",97.235,98.363,99.54,100.044,99.297,111.605,87.071,97.994,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,99.843,97.723,97.854,1653,15,206,339,393,347,140,2008,1194,1223,879,631,315,592,73.6,51.6,4.1,5.4,70.6,48.8,75.4,54.1
"2015. 01",99.43,100.05,100.61,99.85,99.36,100.97,99.56,98.7,96.07,100,99.98,100.22,100.02,100.12,99.37,94.92,100,98.42,100.48,97.9,100,98.92,100,99.3,98.6,98.62,100,1274,17,211,345,391,344,134,2445,1195,1225,885,638,310,586,74,52.1,5.2,5.7,70.2,49.2,75.4,55.1
"2015. 02",101.56,99.5,100.66,99.54,99.74,96.5,100,98.91,96.07,100,99.98,100.22,100.02,100.12,99.37,94.92,100,98.42,100.48,97.9,100,98.92,100,99.3,99.34,98.74,100,947,21,200,347,394,335,140,2113,1196,1226,895,638,301,588,74.8,52,6.4,6.3,70,48.8,75.1,54.3
"2015. 03",99.85,100.16,100.44,99.53,99.74,100.83,100.43,99.23,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,100.48,99.46,100,98.92,100,99.3,99.52,98.74,100,1702,12,201,346,398,341,165,2262,1197,1227,902,644,296,583,75.3,52.5,5.7,4.9,71,49.9,75.2,54.9
"2015. 04",99.34,99.81,99.73,99.61,100.07,100.96,98.96,99.4,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,100.48,99.46,100,100.36,100,99.3,99.52,100.06,100,1483,14,208,337,403,345,177,2201,1199,1229,921,647,277,582,76.9,52.6,6.3,4.2,72,50.4,76.2,55
"2015. 05",101.37,100.34,99.85,99.82,100.07,102.78,99.99,99.71,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,99.76,99.46,100,100.36,100,99.35,100.07,99.47,100,1678,14,215,334,401,345,189,2138,1200,1230,924,662,276,568,77,53.8,5.7,5.2,72.6,51,76.3,55.2
"2015. 06",100.39,100.55,100.05,99.91,100.07,104.58,99.97,100,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,99.46,100,100.36,100,99.35,100.07,99.94,100,1295,15,207,335,405,351,189,2011,1201,1231,919,665,282,566,76.5,54,5.2,5.4,72.6,51.1,76.2,55.6
"2015. 07",99.5,100.54,99.97,99.82,100.07,103.92,99.66,100.26,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,101.06,100,100.36,100,99.35,100.56,99.94,100,964,18,209,333,402,354,186,2194,1202,1232,918,664,284,569,76.4,53.9,4.5,5.9,73,50.7,76.8,55.2
"2015. 08",101.38,100.42,100.48,99.95,100.12,101.75,100.39,100.49,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,101.06,100,100.36,100,99.35,101.06,100.37,100,968,15,213,336,395,350,184,2031,1203,1234,918,648,286,586,76.2,52.5,4.9,4.2,72.5,50.3,76.2,54.8
"2015. 09",101.28,99.76,99.5,99.93,100.12,99.2,100.16,100.54,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,99.65,101.02,100,1282,14,218,334,400,358,184,2131,1205,1235,921,662,283,573,76.5,53.6,5.3,4,72.4,51.5,76.3,56.2
"2015. 10",99.33,99.68,99.46,99.92,100.12,97.9,100.01,100.75,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,100.84,101.02,100,1968,13,216,336,402,360,181,2118,1206,1236,919,662,287,575,76.2,53.5,4.8,4.4,72.5,51.2,76.4,56
"2015. 11",96.76,99.67,99.6,101.11,100.12,96.11,100.21,100.93,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,101.29,101.02,100,1792,13,223,341,403,360,180,1936,1207,1238,917,670,290,568,76,54.1,4.5,4,72.6,52,76.7,57.1
"2015. 12",99.82,99.52,99.66,101.01,100.39,94.49,100.68,101.09,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,99.47,101.02,100,1765,15,223,346,402,356,161,1911,1208,1239,908,654,300,585,75.1,52.8,4.2,3.5,72,50.9,77.1,56.8
"2016. 01",101.58,99.06,100.4,100.97,100.39,91.16,99.68,101.26,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,102.45,102.53,100,103.32,100,101.35,98.11,101.44,101.79,1178,16,220,345,408,354,153,2285,1207,1240,914,653,294,587,75.7,52.7,4.4,4.6,72.3,50.2,77.8,56.5
"2016. 02",105.76,98.82,99.54,101,100.44,88.28,101.15,101.43,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,102.45,102.53,100,103.32,98.44,101.35,99.36,101.44,101.79,996,13,213,340,403,356,159,2014,1209,1242,925,660,284,581,76.5,53.2,7,5.6,71.2,50.2,76.4,56.2
"2016. 03",102.86,98.85,99.69,101.15,100.44,87.47,101.22,101.58,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,104.82,98.44,101.66,100.92,101.44,101.79,1504,10,223,336,405,357,173,2148,1210,1243,929,660,281,583,76.8,53.1,5.9,4.7,72.3,50.6,76.9,56
"2016. 04",102.58,99.33,100.95,101.15,100.62,88.17,101.41,101.66,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,106.5,98.44,101.66,100.92,101.44,101.79,1484,10,228,337,408,362,178,2101,1211,1244,926,679,285,565,76.4,54.6,5.6,4.6,72.2,52.1,76.9,57.4
"2016. 05",100.54,99.55,100.87,101.67,100.62,90.07,101.41,101.86,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,106.5,98.44,101.66,100.92,101.44,101.79,1519,14,233,340,406,365,183,1974,1213,1246,935,682,278,563,77.1,54.8,5.6,3.8,72.8,52.7,77.5,57.9
"2016. 06",98.62,100.08,101,101.66,100.62,94.6,101.48,102.05,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,101.59,101.44,101.79,1292,12,226,340,408,356,187,1889,1214,1247,943,674,271,573,77.7,54.1,6.3,4.3,72.8,51.7,77.5,56.7
"2016. 07",98.97,99.92,101.53,101.64,100.48,94.81,100.95,102.18,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,99.28,101.44,101.79,983,16,235,342,406,364,187,2024,1215,1248,948,681,267,567,78,54.6,5.8,3.7,73.5,52.6,78.3,57.8
"2016. 08",101.07,99.82,101.7,101.64,100.48,93.25,100.84,102.24,98.27,100,99.99,99.67,100.03,99.81,100.66,105.49,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,101.74,101.44,101.79,952,18,226,338,408,364,182,1956,1216,1249,932,673,284,576,76.7,53.9,4.3,4.5,73.3,51.5,78.3,56.7
"2016. 09",108.73,99.87,101.83,101.66,100.48,92.62,101.2,102.37,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,102.46,101.44,101.79,1077,15,223,340,400,366,180,2050,1217,1250,935,663,282,587,76.9,53.1,4.9,4.5,73.1,50.7,78,55.9
"2016. 10",105.67,100,101.62,101.89,100.48,92.83,100.86,102.64,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,102.07,101.44,101.79,1868,13,228,341,395,369,183,1780,1218,1251,938,660,280,591,77,52.7,4.2,4.7,73.8,50.3,78.9,55.5
"2016. 11",104.58,100.04,100.29,102.46,101.02,93.83,100.98,102.8,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,99.33,101.44,101.79,1760,12,214,342,400,371,186,1803,1219,1252,933,660,286,592,76.5,52.7,4.2,4.4,73.3,50.4,78.2,55.7
"2016. 12",106.72,100.23,100.65,102.38,101.18,95.52,101.14,102.96,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,100.53,101.44,101.79,1479,12,218,340,398,369,174,1585,1220,1253,919,655,301,597,75.3,52.3,3.9,4.1,72.4,50.1,77.6,56.1
"2017. 01",110.71,100.96,101.05,102.4,101.33,99.34,100.47,103.03,98.27,100,100.03,99.67,100.02,99.8,100.97,105.5,99.1,103.58,102.45,104.18,102.47,106.51,98.44,101.66,102.03,103,101.79,1087,13,211,335,399,367,166,1985,1221,1254,915,660,307,593,74.9,52.7,5.4,5.3,70.8,49.9,76.1,56.4
"2017. 02",111.08,101.3,101.54,102.5,102.18,100.51,101.25,103.27,98.27,100,100.03,99.67,100.02,99.8,100.97,105.5,99.1,103.58,103.08,104.18,102.47,106.51,98.44,101.66,102.11,103,101.79,1159,16,219,336,400,363,170,1732,1222,1255,934,671,289,584,76.4,53.5,7,5.4,71,50.6,76.4,57.2
"2017. 03",108.76,101.14,101.14,102.52,102.18,100.16,101.33,103.63,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,99.1,103.58,103.08,104.18,102.47,108.39,98.44,101.66,104.87,103,101.79,1348,14,219,335,397,366,188,1900,1224,1256,936,666,288,590,76.5,53,5.7,4.2,72.1,50.8,76.9,56.9
"2017. 04",107.1,100.85,101.64,102.54,102.18,98.53,99.96,103.65,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,100.85,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.64,103,101.79,1447,16,220,339,396,367,186,1696,1224,1256,942,666,282,591,76.9,53,5.6,4.8,72.6,50.4,77.6,56.5
"2017. 05",105.76,101.09,101.85,102.95,102.18,98.24,100.89,103.89,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.64,103.64,101.79,1471,17,231,337,394,374,196,1696,1226,1257,951,675,275,583,77.6,53.7,5.2,4.2,73.6,51.4,78.3,57.4
"2017. 06",104.87,101.04,101.76,102.95,103.34,96.84,101.69,103.98,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.89,104.29,101.79,1099,19,227,334,392,382,196,1696,1226,1258,954,666,272,592,77.8,52.9,4.9,3.7,74,51,78.8,56.9
"2017. 07",104.38,100.62,101.74,102.9,102.49,94.6,100.51,104.16,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.4,104.69,101.79,729,17,231,335,392,377,194,1743,1227,1259,951,661,276,598,77.5,52.5,4.7,3.3,73.9,50.7,78.7,56.6
"2017. 08",109.95,100.85,101.55,102.64,102.49,96.39,101.49,104.3,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.88,104.69,101.79,739,15,222,334,389,372,190,1753,1228,1260,934,660,294,600,76.1,52.4,5.4,3.2,71.9,50.7,76.8,56.6
"2017. 09",112.25,101.09,101.84,102.69,102.49,98.13,101.31,104.34,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.7,104.69,101.79,1185,12,226,335,392,376,200,1786,1229,1261,936,674,293,587,76.2,53.5,5.5,2.7,72,52,76.6,57.8
"2017. 10",107.34,101.56,101.9,102.81,102.49,100.56,101.69,104.39,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.13,104.69,101.79,1705,13,232,334,397,382,203,1595,1230,1262,933,688,296,573,75.9,54.6,4.6,2.6,72.4,53.1,77.1,59
"2017. 11",103.77,101.35,101.52,103.51,102.49,101.85,100.39,104.5,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,106.96,104.69,101.79,1757,11,228,335,393,377,205,1553,1231,1263,928,683,303,580,75.4,54.1,4.6,2.8,71.9,52.6,76.7,58.3
"2017. 12",107.3,101.45,101.23,103.51,102.78,103.11,100.97,104.55,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,109.97,99.76,101.66,106.96,104.69,101.79,1509,10,230,335,392,377,196,1310,1232,1263,930,675,302,589,75.5,53.4,4.7,3.1,71.9,51.7,76.9,58
"2018. 01",109.87,101.42,101.21,103.53,102.78,103.65,99.78,104.66,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.66,108.07,105.27,101.79,1139,13,230,341,393,378,184,1900,1232,1264,931,678,301,586,75.6,53.7,4.5,4.2,72.1,51.4,77.5,58.5
"2018. 02",115.45,101.8,100.98,103.83,102.78,104.56,101.13,104.98,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.94,108.32,105.13,101.79,854,16,232,340,392,378,188,1700,1232,1264,932,697,300,568,75.6,55.1,4.7,5.6,72.1,52,77.3,58.9
"2018. 03",111.04,101.9,101.72,103.6,102.36,103.65,101.03,105.03,101.2,100,100.21,97.96,99.48,99.35,102.53,94.64,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.94,109.69,105.13,101.79,1333,14,234,344,387,384,207,1800,1232,1265,945,706,287,559,76.7,55.8,4.8,5.3,73.1,52.8,78,58.8
"2018. 04",110.86,101.97,101.95,103.61,102.42,102.71,101.51,105.15,101.2,100,100.21,97.96,99.48,99.35,102.53,94.64,100.17,103.58,104.04,107.24,105.95,112.95,99.76,101.94,109.23,105.13,101.79,1242,12,225,339,392,382,212,1700,1233,1266,942,701,291,565,76.4,55.4,4.5,5.4,72.9,52.4,77.3,58.2
"2018. 05",109.51,102.45,102.43,103.6,102.42,105.25,101.82,105.28,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,101.94,109.78,105.5,101.79,1338,14,236,341,397,383,216,1700,1233,1266,959,704,274,562,77.8,55.6,4.7,4.3,74.1,53.2,78.8,59.1
"2018. 06",107.81,102.82,101.85,103.6,102.69,107.96,101.8,105.27,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,101.94,109.78,105.5,101.79,1162,15,239,338,396,389,219,1600,1234,1266,954,707,280,560,77.3,55.8,4,3.9,74.2,53.6,78.8,59.5
"2018. 07",108.06,102.33,100.99,103.54,104.34,107.65,101.53,105.27,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,107.23,105.69,101.79,833,13,240,337,397,392,213,1600,1235,1268,944,712,291,556,76.5,56.1,4.1,3.7,73.3,54.1,78.1,60.3
"2018. 08",117.76,102.44,100.81,103.54,104.34,108.12,101.6,105.26,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,107.23,105.69,101.79,870,14,237,330,388,388,214,1700,1236,1269,939,701,297,567,76,55.3,4.6,3.8,72.4,53.2,77,59.2
"2018. 09",123.88,102.51,100.93,103.6,104.34,108.98,101.55,105.47,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.55,105.69,101.79,1100,15,240,328,387,391,216,1600,1238,1270,941,699,297,570,76,55.1,4.2,3.2,72.8,53.3,77.4,59.5
"2018. 10",118.47,103.08,101.1,103.67,104.4,112.68,101.64,105.51,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,109.73,105.69,101.79,1787,13,244,332,386,392,215,1700,1239,1271,940,703,299,567,75.9,55.3,3.6,4.1,73.2,53.1,77.9,59.2
"2018. 11",113.85,102.55,100.66,103.99,104.75,108.09,101.79,105.53,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.32,105.69,101.79,1669,11,238,332,393,398,220,1600,1240,1272,941,711,299,561,75.9,55.9,3.8,3.6,73,53.9,77.7,60.4
"2018. 12",114.71,101.51,100.63,103.99,104.83,98.55,101.85,105.57,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.66,105.69,101.79,1523,14,247,330,392,396,208,1500,1241,1273,944,705,297,568,76.1,55.4,3.9,3.6,73.1,53.4,78.1,60.4
