"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","의약품","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","문화강습료","초등학생학원비","중학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","이러닝이용료","학교보충교육비","취업학원비","외국어학원비","운동강습료","혼인율"
"2004. 12",76.685,73.796,91.719,71.425,70.667,85.696,"93.287999999999997",68.169,82.28,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,82.772,"-",66.114,"-",73.663,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",65.771,77.017,93.575,1726
"2005. 01",79.038,74.955,92.625,71.305,71.349,85.884,"93.962000000000003",72.656,82.122,82.404,109.197,75.625,92.207,75.541,75.605,72.519,101.813,82.784,"-",66.131,"68.641000000000005",74.103,71.294,70.116,70.694,64.146,90.357,"85.617999999999995","81.302999999999997",68.814,77.026,93.542,1118
"2005. 02",81.177,75.183,92.443,71.377,71.708,86.62,"93.867000000000004",72.801,82.122,82.404,109.197,75.625,92.207,75.541,75.605,72.519,101.813,81.941,"-",66.131,"68.641000000000005",74.103,71.294,70.116,70.694,64.146,90.357,"85.617999999999995","81.302999999999997",68.814,77.026,93.542,901
"2005. 03",81.335,75.563,92.17,71.449,71.78,89.016,"93.962000000000003",72.801,81.959,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,64.869,90.357,"85.617999999999995","73.524000000000001",68.814,77.026,99.753,1565
"2005. 04",81.731,75.714,91.804,71.377,71.924,90.859,"94.436000000000007",72.365,81.959,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.617999999999995","73.524000000000001",70.286,77.026,99.753,1757
"2005. 05",79.355,75.791,91.804,71.809,71.924,89.754,"94.53",72.874,81.877,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",71.828,77.026,93.542,1857
"2005. 06",77.612,75.563,90.528,71.809,71.924,90.214,"94.53",72.874,81.713,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",71.828,77.026,93.542,1196
"2005. 07",78.959,75.791,89.981,71.809,71.924,93.162,"94.813999999999993",72.147,81.713,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,86.072,"-",66.131,"70.825000000000003",76.462,72.158,69.276,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",71.828,77.8,93.542,607
"2005. 08",79.355,76.094,90.255,71.737,71.636,94.821,"94.813999999999993",72.728,81.549,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,86.072,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",71.828,77.8,93.542,735
"2005. 09",81.652,76.549,90.528,71.737,71.708,97.31,"95.382999999999996",73.02,81.386,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,"-",66.131,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",69.235,77.8,93.542,938
"2005. 10",79.276,76.702,90.619,72.527,71.78,96.941,"95.477000000000004",72.437,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,"-",67.259,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",69.235,77.8,93.542,2373
"2005. 11",73.732,76.626,90.255,72.743,71.78,95.651,"95.477000000000004",73.02,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,"-",67.259,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",69.235,77.8,90.531,1896
"2005. 12",77.296,76.777,91.076,72.743,71.78,95.651,"95.477000000000004",73.02,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,84.892,"-",67.259,"70.825000000000003",76.462,72.158,70.116,71.479,66.25,90.357,"85.876000000000005","73.524000000000001",69.235,77.8,90.531,1572
"2006. 01",79.355,76.853,90.802,72.815,71.851,96.573,"95.856999999999999",72.801,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.999,"-",67.259,"72.728999999999999",78.592,73.022,70.116,72.977,66.25,90.357,"84.245999999999995","73.524000000000001",69.235,78.574,90.531,1004
"2006. 02",77.533,77.005,90.346,73.03,72.713,97.125,"95.856999999999999",73.31,81.223,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,91.636,"-",68.388,"72.728999999999999",78.592,73.022,70.116,73.762,66.25,90.357,"84.245999999999995","73.524000000000001",69.235,78.574,90.531,1039
"2006. 03",79.434,77.157,90.346,72.959,73,97.586,"95.760999999999996",73.31,81.141,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,91.636,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","80.778999999999996",70.776,76.251,93.542,1583
"2006. 04",79.038,77.537,90.711,72.959,72.856,99.06,"95.760999999999996",73.02,81.141,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,93.322,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","81.302999999999997",70.776,79.426,93.542,1756
"2006. 05",77.533,78.069,91.531,74.037,72.856,99.889,"95.760999999999996",73.237,81.06,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","82.349000000000004",70.776,79.426,93.542,1863
"2006. 06",76.108,77.841,89.891,74.109,72.856,99.889,"95.667000000000002",73.529,80.978,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","82.349000000000004",70.776,79.426,93.542,1256
"2006. 07",76.979,77.992,89.981,74.037,72.856,100.535,"95.667000000000002",73.165,80.896,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","82.349000000000004",70.776,79.426,87.426,671
"2006. 08",81.652,78.069,90.072,74.109,74.867,100.443,"95.856999999999999",73.383,81.06,97.562,115.909,86.84,103.224,86.208,83.796,81.221,110.713,95.261,"-",68.986,"73.926000000000002",79.885,73.886,72.778,74.475,66.974,90.357,"84.245999999999995","82.349000000000004",70.776,80.974,87.426,767
"2006. 09",81.81,77.917,89.708,74.037,74.867,98.599,"95.856999999999999",73.892,81.468,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,95.261,"-",68.986,"73.926000000000002",79.885,74.75,72.778,74.475,66.974,90.357,"84.245999999999995","82.349000000000004",70.776,80.974,87.426,1144
"2006. 10",78.087,77.309,89.343,74.612,74.867,94.729,"95.856999999999999",73.601,81.631,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,"-",68.986,"73.926000000000002",79.885,74.75,72.778,74.475,66.974,90.357,"80.042000000000002","81.825999999999993",70.776,80.974,87.426,2167
"2006. 11",74.841,77.157,89.525,75.115,74.867,92.886,"95.856999999999999",73.746,81.713,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,"-",68.986,"73.926000000000002",79.885,74.75,72.778,74.475,66.974,90.357,"84.245999999999995","81.302999999999997",70.776,80.974,87.426,2187
"2006. 12",77.137,77.234,89.708,75.115,75.799,92.886,"95.950999999999993",73.674,81.794,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,"-",68.986,"73.926000000000002",79.885,74.75,72.778,74.475,66.974,90.357,"84.245999999999995","81.302999999999997",70.776,80.974,87.426,1824
"2007. 01",77.375,77.157,89.343,75.115,75.943,92.609,"96.234999999999999",73.82,82.122,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,"-",68.986,"75.123999999999995",79.885,76.479,72.778,74.475,66.974,90.357,"84.760999999999996","81.302999999999997",70.776,84.225,87.426,1421
"2007. 02",80.622,77.309,89.343,75.331,76.23,92.886,"96.234999999999999",74.11,82.285,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,"-",68.986,"75.123999999999995",79.885,76.479,72.778,74.475,66.974,97.857,"84.760999999999996","81.302999999999997",70.776,84.225,87.426,896
"2007. 03",78.008,77.689,89.07,75.259,76.302,95.374,"96.424999999999997",73.965,82.367,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,76.044,66.974,97.857,"84.760999999999996","81.302999999999997",70.776,85.774,87.426,1765
"2007. 04",77.85,78.524,89.525,75.259,76.302,98.968,"96.519000000000005",74.401,82.367,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"86.134","81.302999999999997",70.776,85.774,87.426,1605
"2007. 05",76.662,78.828,88.796,75.977,76.302,100.351,"96.897999999999996",74.329,82.612,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"86.134","81.302999999999997",70.776,85.774,90.719,2026
"2007. 06",76.267,78.98,88.523,75.977,76.445,100.904,"96.992000000000004",74.619,82.694,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"86.134","81.302999999999997",70.776,85.774,90.719,1233
"2007. 07",76.267,79.284,89.253,76.121,76.302,101.641,"97.561000000000007",74.838,82.857,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"87.162000000000006","81.302999999999997",70.776,86.548,90.719,778
"2007. 08",76.9,79.208,89.434,76.049,76.302,100.535,"97.656000000000006",74.983,82.939,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,"-",71.243,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"86.305000000000007","81.302999999999997",70.776,86.548,90.719,657
"2007. 09",81.018,79.512,89.799,76.049,76.158,101.548,"97.94",74.838,83.184,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",72.372,"76.040000000000006",81.178,77.343,77.121,77.543,66.974,97.857,"86.305000000000007","81.825999999999993",70.776,86.548,90.719,1228
"2007. 10",80.701,79.739,90.072,76.265,76.158,102.377,"97.94",75.056,83.429,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",72.372,"76.040000000000006",81.178,78.279,77.121,77.543,66.974,97.857,"86.305000000000007","81.825999999999993",70.776,86.548,90.719,2269
"2007. 11",77.929,80.499,90.619,76.768,76.23,106.248,"97.844999999999999",75.056,83.756,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",72.372,"75.899000000000001",81.178,78.279,77.121,77.543,66.974,97.857,"86.305000000000007","81.825999999999993",70.776,86.548,90.719,2289
"2007. 12",77.771,81.031,90.619,76.912,76.445,108.92,"97.94",75.274,83.919,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",72.372,"80.197999999999993",81.178,78.279,77.121,77.543,66.974,97.857,"86.305000000000007","81.825999999999993",70.776,86.548,90.719,2060
"2008. 01",78.325,81.714,92.17,76.912,77.163,111.409,"98.034999999999997",74.983,84.083,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",74.63,"80.197999999999993",81.178,78.279,78.872,80.61,66.974,97.857,"86.305000000000007","81.825999999999993",71.337,86.548,90.719,1417
"2008. 02",79.672,81.714,92.261,76.84,78.097,110.764,"98.224999999999994",74.765,84.164,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,"-",74.63,"80.197999999999993",81.178,79.143,78.872,80.61,71.251,97.857,"86.305000000000007","81.825999999999993",71.337,86.548,90.719,1105
"2008. 03",78.167,82.853,93.355,76.84,79.173,113.067,"98.224999999999994",75.274,84.328,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,"-",79.808,"85.272999999999996",84.145,79.143,80.623,80.61,71.974,97.857,"88.793000000000006","81.825999999999993",78.415,86.548,91.66,1868
"2008. 04",79.672,83.688,92.989,76.912,79.603,116.016,"97.656000000000006",75.056,84.492,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,"-",79.808,"87.245000000000005",84.145,80.008,80.623,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",78.905,86.548,91.66,1829
"2008. 05",79.434,85.435,93.628,77.774,79.603,123.94,"97.561000000000007",76.074,84.737,121.181,122.399,100.538,121.362,99.502,100.178,92.9,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",81.428,86.548,91.66,1941
"2008. 06",78.405,87.03,94.084,77.99,79.532,132.787,"97.561000000000007",76.074,84.9,121.181,122.399,100.538,121.362,99.342,100.178,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,79.04,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,86.548,91.66,1381
"2008. 07",79.434,88.093,95.816,77.99,79.819,135.366,"97.656000000000006",76.583,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,79.04,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,86.548,91.66,869
"2008. 08",81.573,86.726,94.357,77.99,79.819,126.244,"98.793000000000006",77.092,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,79.04,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,86.548,93.448,903
"2008. 09",81.256,86.954,96.455,78.062,79.819,121.545,"98.887",77.528,85.308,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,87.709,93.448,1154
"2008. 10",78.643,86.878,97.366,78.134,79.747,119.057,"98.887",77.747,85.553,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,80.623,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,87.709,93.448,2160
"2008. 11",78.325,85.511,97.001,79.068,81.111,107.723,"98.887",77.965,85.717,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,81.464,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,87.709,93.448,1826
"2008. 12",80.068,84.828,99.554,79.931,80.896,98.968,"98.887",77.892,85.881,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,81.464,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,87.709,93.448,1655
"2009. 01",83.711,84.371,99.006,79.931,81.757,95.835,"99.171999999999997",77.747,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,81.464,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",84.021,87.709,93.448,1016
"2009. 02",83.632,85.739,101.104,80.003,81.972,101.272,"99.171999999999997",78.183,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,"-",79.808,"83.721999999999994",84.145,80.008,81.464,80.61,71.974,97.857,"88.793000000000006","82.349000000000004",86.683,87.709,92.507,1090
"2009. 03",85.691,86.346,101.468,80.074,82.547,102.838,"99.55",78.328,86.371,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",79.808,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","82.349000000000004",86.683,87.709,92.507,1536
"2009. 04",87.829,86.27,99.645,80.146,82.619,104.497,"99.929000000000002",77.819,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",79.808,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","82.349000000000004",87.454,87.709,92.507,1440
"2009. 05",85.929,86.346,99.098,82.015,82.619,102.285,"100.024",78.619,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",79.808,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","82.349000000000004",87.454,87.709,92.507,1770
"2009. 06",81.889,87.182,99.827,82.518,82.834,105.695,"100.119",79.711,86.534,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",81.867,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",87.454,87.709,92.507,1195
"2009. 07",83.315,87.485,100.374,82.662,82.762,106.708,"100.21299999999999",79.42,86.616,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",81.867,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,760
"2009. 08",84.265,87.713,99.919,82.734,82.69,109.473,"100.30800000000001",79.056,86.697,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,"-",81.867,"86.611000000000004",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,881
"2009. 09",82.839,87.865,100.557,82.806,82.69,110.118,"100.40300000000001",78.983,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,"-",81.867,"87.74",88.939,80.008,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,1321
"2009. 10",82.681,87.485,100.739,82.878,82.69,106.616,"100.593",79.056,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,"-",81.867,"88.021000000000001",88.939,80.8,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,1902
"2009. 11",79.988,88.473,101.559,84.316,82.762,110.118,"100.78100000000001",79.492,87.024,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,"-",81.867,"87.74",88.939,82.456,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,1995
"2009. 12",82.998,88.473,101.742,84.316,82.834,110.026,"100.877",79.347,87.27,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,"-",81.867,"87.74",88.939,82.456,85.037,80.61,73.356,97.857,"88.793000000000006","83.471000000000004",89.697,87.709,92.507,1611
"2010. 01",84.504,89.143,103.326,84.308,83.414,112.48,"101.21",78.589,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,"99.054000000000002",86.116,"87.805999999999997",90.714,84.102,84.991,82.111,73.293,97.857,"88.637","83.486000000000004",89.535,87.842,92.507,1246
"2010. 02",86.714,89.054,102.916,83.8,83.414,112.365,"101.312",78.825,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,"99.054000000000002",86.116,"88.528000000000006",90.714,84.102,85.852,82.111,73.293,97.857,"88.637","83.486000000000004",89.716,89.001,92.507,913
"2010. 03",87.818,89.143,102.505,83.885,84.604,114.205,"101.21",78.51,87.402,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,"99.054000000000002",86.116,"88.528000000000006",90.714,82.043,85.852,83.651,73.293,97.857,"88.637","83.486000000000004",89.806,89.001,92.507,1674
"2010. 04",91.04,89.502,102.813,83.8,84.604,116.16,"101.312",78.51,87.578,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,"99.054000000000002",86.116,"90.876999999999995",90.714,82.043,85.852,85.19,75.797,97.857,"88.637","83.486000000000004",89.987,88.912,92.507,1621
"2010. 05",89.936,89.681,102.711,83.969,84.604,116.275,"101.413",79.22,87.755,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,"99.054000000000002",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,75.797,97.857,"88.637","83.486000000000004",89.987,89.447,92.507,1875
"2010. 06",88.095,89.771,102.505,84.561,84.604,115.125,"101.514",79.299,87.931,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,"99.054000000000002",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,77.011,97.857,"88.637","83.486000000000004",89.987,89.447,92.507,1224
"2010. 07",89.383,89.861,102.403,84.561,85.369,115.7,"101.514",78.983,88.196,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,"99.054000000000002",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,77.011,97.857,"88.637","83.486000000000004",90.077,89.447,92.507,953
"2010. 08",92.329,89.861,102.608,84.73,85.624,115.24,"101.514",78.904,88.549,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,95.243,"99.054000000000002",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,77.011,97.857,"88.637","83.486000000000004",90.077,89.447,92.507,1014
"2010. 09",102.087,89.681,102.403,84.73,86.305,113.515,"101.514",78.983,88.637,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,77.011,97.857,"88.637","83.486000000000004",90.077,89.447,92.507,1131
"2010. 10",102.455,89.95,102.403,84.815,86.305,114.32,"101.514",79.457,88.901,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"90.876999999999995",90.714,82.043,85.852,86.644,77.011,97.857,"88.637","82.986000000000004",90.077,89.447,92.507,2082
"2010. 11",95.735,89.771,102.3,85.745,85.794,115.355,"101.514",77.563,89.166,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"90.876999999999995",90.714,82.043,87.66,86.644,77.011,97.857,"88.637","82.986000000000004",90.98,89.447,92.507,1916
"2010. 12",94.354,90.758,102.198,85.745,85.794,119.38,"101.514",80.167,89.43,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"92.141999999999996",90.714,82.043,87.66,86.644,77.011,97.857,"93.265000000000001","83.653000000000006",92.785,89.447,92.507,1758
"2011. 01",98.496,91.654,103.224,85.83,85.794,123.98,"102.123",79.93,89.607,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"93.406000000000006",92.528,82.043,87.66,86.644,77.011,97.857,"93.265000000000001","83.653000000000006",92.965,90.696,92.507,1246
"2011. 02",100.338,92.282,103.018,86.422,86.05,125.706,"103.137",80.561,89.695,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,"101.45",86.116,"94.760999999999996",92.528,82.043,88.608,86.644,77.011,97.857,"95.846000000000004","83.653000000000006",93.055,90.963,92.969,1121
"2011. 03",99.693,93.179,102.916,86.506,88.175,130.766,"103.137",80.877,89.96,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,"101.45",89.302,"94.129000000000005",92.528,84.432,90.416,88.184,78.225,97.857,"95.846000000000004","83.153000000000006",93.146,90.963,92.969,1603
"2011. 04",98.036,93.269,102.711,86.506,88.175,131.686,"103.238",80.246,90.048,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,"102.449",89.302,"92.593000000000004",92.528,84.432,90.416,88.184,78.225,97.857,"95.846000000000004","83.153000000000006",92.965,90.963,92.969,1656
"2011. 05",95.275,93.896,102.916,87.69,88.175,130.076,"103.238",81.745,90.665,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,"102.449",89.302,"92.593000000000004",92.528,84.432,90.416,88.184,78.225,97.857,"95.846000000000004","83.153000000000006",93.055,90.963,92.969,1893
"2011. 06",96.471,94.076,103.018,87.859,88.175,129.156,"102.123",82.297,90.93,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,"102.449",89.302,"92.593000000000004",92.528,84.432,90.416,88.184,78.225,98.836,"95.846000000000004","83.153000000000006",93.055,90.963,92.969,1380
